Array type,Array size,Resulting time in processor clocks * 100000000000
int,100000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
int,1000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
int,10000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
char,100000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
char,1000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
char,10000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
double,100000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
double,1000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
double,10000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
float,100000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
float,1000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
float,10000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
string,100000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
string,1000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
string,10000000,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
